,intent
you are coool,chitchat/agent_good
you are very kind,chitchat/agent_good
you are a professional,chitchat/agent_good
you rock,chitchat/agent_good
you are the best,chitchat/agent_good
I want to let everyone know that you are awesome,chitchat/agent_good
I'd like to tell everyone that you are awesome,chitchat/agent_good
you are so amazing,chitchat/agent_good
you are so fine,chitchat/agent_good
you almost sound human,chitchat/agent_good
you are so awesome,chitchat/agent_good
you are so lovely,chitchat/agent_good
you work very well,chitchat/agent_good
it's really bad,chitchat/appraisal_bad
that was not good,chitchat/appraisal_bad
that's not good enough,chitchat/appraisal_bad
not a good one,chitchat/appraisal_bad
abysmal,chitchat/appraisal_bad
not good,chitchat/appraisal_bad
nothing,chitchat/appraisal_bad
Fool,chitchat/appraisal_bad
horrific,chitchat/appraisal_bad
no it's bad,chitchat/appraisal_bad
it's so bad,chitchat/appraisal_bad
no good,chitchat/appraisal_bad
not okay,chitchat/appraisal_bad
that's terrible,chitchat/appraisal_bad
that was lame,chitchat/appraisal_bad
too bad,chitchat/appraisal_bad
Nothing,chitchat/appraisal_bad
it's not so good,chitchat/appraisal_bad
not good enough,chitchat/appraisal_bad
so lame,chitchat/appraisal_bad
terrible,chitchat/appraisal_bad
that's bad,chitchat/appraisal_bad
not so good,chitchat/appraisal_bad
that's really bad,chitchat/appraisal_bad
that was awful,chitchat/appraisal_bad
it's too bad,chitchat/appraisal_bad
well too bad,chitchat/appraisal_bad
that's too bad,chitchat/appraisal_bad
it is bad,chitchat/appraisal_bad
bad,chitchat/appraisal_bad
that was bad,chitchat/appraisal_bad
that was horrible,chitchat/appraisal_bad
oh that's not good,chitchat/appraisal_bad
bad idea,chitchat/appraisal_bad
it's not good,chitchat/appraisal_bad
pretty bad,chitchat/appraisal_bad
that is bad,chitchat/appraisal_bad
bad really bad,chitchat/appraisal_bad
that was terrible,chitchat/appraisal_bad
this is not good,chitchat/appraisal_bad
Shut up,chitchat/appraisal_bad
this is bad,chitchat/appraisal_bad
horrible,chitchat/appraisal_bad
that's not good,chitchat/appraisal_bad
it's very bad,chitchat/appraisal_bad
it's good,chitchat/appraisal_good
that's fantastic,chitchat/appraisal_good
really well,chitchat/appraisal_good
that's not bad,chitchat/appraisal_good
that is good,chitchat/appraisal_good
that's nice,chitchat/appraisal_good
very then,chitchat/appraisal_good
good to know,chitchat/appraisal_good
it's great,chitchat/appraisal_good
that's a good thing,chitchat/appraisal_good
that's perfect,chitchat/appraisal_good
really good,chitchat/appraisal_good
this is good,chitchat/appraisal_good
it's fine,chitchat/appraisal_good
pretty good,chitchat/appraisal_good
perfect,chitchat/appraisal_good
excellent,chitchat/appraisal_good
glad to hear it,chitchat/appraisal_good
very well,chitchat/appraisal_good
I'm glad to hear that,chitchat/appraisal_good
so good,chitchat/appraisal_good
fine,chitchat/appraisal_good
that's wonderful,chitchat/appraisal_good
great,chitchat/appraisal_good
okay good,chitchat/appraisal_good
it's awesome,chitchat/appraisal_good
it is fine,chitchat/appraisal_good
glad to hear that,chitchat/appraisal_good
that was very good,chitchat/appraisal_good
that was amazing,chitchat/appraisal_good
very nice,chitchat/appraisal_good
that's much better,chitchat/appraisal_good
that was pretty good,chitchat/appraisal_good
that's very good,chitchat/appraisal_good
that's very nice,chitchat/appraisal_good
that was awesome,chitchat/appraisal_good
cool,chitchat/appraisal_good
it is good,chitchat/appraisal_good
no it's okay,chitchat/appraisal_good
terrific,chitchat/appraisal_good
super,chitchat/appraisal_good
that's very nice of you,chitchat/appraisal_good
it's perfect,chitchat/appraisal_good
pleasant,chitchat/appraisal_good
so nice of you,chitchat/appraisal_good
that's really nice,chitchat/appraisal_good
that's fine,chitchat/appraisal_good
that was cute,chitchat/appraisal_good
very good,chitchat/appraisal_good
straight,chitchat/appraisal_good
that's a good idea,chitchat/appraisal_good
that is wonderful,chitchat/appraisal_good
much better,chitchat/appraisal_good
sweet,chitchat/appraisal_good
really nice,chitchat/appraisal_good
ok good,chitchat/appraisal_good
that is nice,chitchat/appraisal_good
oh well,chitchat/appraisal_good
that was good,chitchat/appraisal_good
that's nice of you,chitchat/appraisal_good
super fantastic,chitchat/appraisal_good
so sweet of you,chitchat/appraisal_good
this is awesome,chitchat/appraisal_good
that's sweet of you,chitchat/appraisal_good
so cool,chitchat/appraisal_good
that's pretty good,chitchat/appraisal_good
good very good,chitchat/appraisal_good
See you later,goodbye
Bye,goodbye
Goodbye,goodbye
Thanks,thanks
Thank you,thanks
you've been great,thanks
Thank's a lot!,thanks
clean the slots,reset
clean your memory,reset
forget all the slots,reset
forget everything,reset
reset,reset
is there any dicount for [this](specific) product,discount_special
[It](specific)  is so expensive.,discount_special
Can you give me cheap price for [that](specific) product,discount_special
[it](specific) is so expensive,discount_special
I do not believe [this](specific) product is so expensive,discount_special
I think [this](specific) product is so expensive,discount_special
I could not afford [it](specific),discount_special
Do you know football?,out_of_scope
Who's the US President?,out_of_scope
What is 2 + 2?,out_of_scope
I want to order flight,out_of_scope
What is basketball,out_of_scope
who when the champion last year,out_of_scope
Book hotel for me,out_of_scope
When the products will be delivered,delivery
When it can be delivery,delivery
How soon I can get this product,delivery
When I can get this product,delivery
delivery,delivery
When it will arrive,delivery
When can I receive the dress at the least?,delivery
when it can delievery,delivery
help me put it in the cart,put_in_cart
please help me package it,put_in_cart
I want to buy it,put_in_cart
Can you put it in my cart,put_in_cart
Can you add it to my cart,put_in_cart
Put in my cart,put_in_cart
I want to purchase it,put_in_cart
Put in cart,put_in_cart
cart,put_in_cart
I want it,put_in_cart
Put this goods in cart?,put_in_cart
Can you put this in cart?,put_in_cart
can you show me another recommandation,disagree_recommand
Can you show me more recommendations,disagree_recommand
Can you give me some other recommendation,disagree_recommand
Do you have else,disagree_recommand
I do not like this recommendation,disagree_recommand
Do you have other recommendations,disagree_recommand
can you give me some other recommend,disagree_recommand
another recommendation,disagree_recommand
have you any other product?,disagree_recommand
have you any other products?,disagree_recommand
Can you give me more recommendations,disagree_recommand
can you give me more recommand,disagree_recommand
Can you provide more recommendations,disagree_recommand
What else is on sale?,disagree_recommand
can you send me more?,disagree_recommand
I want to see more kinds of the products,disagree_recommand
What is your function,agent_function
What is your job,agent_function
what can you provide for me?,agent_function
What is u function,agent_function
what are your features?,agent_function
What function you are working with,agent_function
function,agent_function
What can u do for me?,agent_function
what can you do,agent_function
what all can you do?,agent_function
what all you do?,agent_function
what are your abilities?,agent_function
what can you help me with,agent_function
what all u do?,agent_function
what can you do?,agent_function
what can you do for me,agent_function
good evening,greet
hey,greet
how do you do?,greet
good morning,greet
how are you feeling,greet
how are you getting on,greet
how are you today?,greet
are you okay?,greet
are you alright,greet
hi,greet
hey there,greet
how are you going?,greet
Is anyone there?,greet
How are you,greet
how are you?,greet
hello,greet
how are you doing?,greet
how are things going,greet
Good day,greet
how's your day going,greet
how much is [avpe7cltljejml43yhlv](item_id),information
[Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name),information
Tell me more about [J. Renee Neda Women  Open Toe Synthetic  Wedge Heel](name),information
more information about [avpfbpzxilapnd_xbj81](item_id),information
[AVpfL2f5LJeJML434Mn3](item_id) looks good,information
I want to purchase [J. Renee Neda Women  Open Toe Synthetic  Wedge Heel](name),information
I want to know more about [AVpfEhC4LJeJML431u0y](item_id),information
Information about [AVpfJ2U4ilAPnD_xWGMl](item_id),information
How much is [Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name),information
[AVpfLHhJLJeJML4338-b](item_id),information
Give me price of [Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name),information
Information about [Easy Spirit Abide Women  Moc Toe Patent Leather Red Loafer](name),information
[Easy Spirit Abide Women  Moc Toe Patent Leather Red Loafer](name) please,information
[AVpe5bQPLJeJML43xx0_](item_id),information
Tell me more about [AVpfLk7eLJeJML434Gzj](item_id),information
I like [AVpfMwARLJeJML434ffZ](item_id),information
I like [Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name),information
How much is [AVpfEhC4LJeJML431u0y](item_id)?,information
i want learn more about [avpfyao_ilapnd_xapxl](item_id),information
[Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name) looks good,information
I want to know more about [J. Renee Neda Women  Open Toe Synthetic  Wedge Heel](name),information
How much is [AVpe5bQPLJeJML43xx0_](item_id),information
[AVpe_5NuilAPnD_xSruY](item_id) information,information
what is the price of [AVpe5bQPLJeJML43xx0_](item_id),information
[Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name) information,information
Is there have any discount on [AVpe8cGQ1cnluZ0-aZ7c](item_id)?,discount
discount [boot](product),discount
I hope you give me some cheap price for [AVpe8cGQ1cnluZ0-aZ7c](item_id),discount
I could not afford to [Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name),discount
I could not afford to [AVpe8cGQ1cnluZ0-aZ7c](item_id),discount
Do you give some discount on,discount
Is there any [black](keyword) [gloves](keyword) on sale?,discount
Is there cheaper [jeans](product)?,discount
I am looking for items that's on sale,discount
Is there any discount for [avpe9r0zilapnd_xr55l](item_id)?,discount
on sale,discount
Do you have any promotion for [women](keyword)?,discount
I hope you give me some cheap price for [Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name).,discount
Is there any [jeans](product) on sale?,discount
Do you have any discounted [women](keyword) [watch](product)?,discount
top on sale items,discount
Do you have any discount for [Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name) ?,discount
discount for [AVpe8cGQ1cnluZ0-aZ7c](item_id)?,discount
discount,discount
Do you have [dress](product) on sale?,discount
Do you have any discount?,discount
discount for [Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name)?,discount
Is there any discount for [Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name)?,discount
[perfume](product) on sale,discount
show me some [handbag](product) on sale,discount
have you any disocunt for blue](keyword) [shoes](product)?,discount
top on-sale items,discount
Is there have any discount on [Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name)?,discount
I am looking for [hat](product) for [men](keyword). Is there any recommendation?,recommend
What's new?,recommend
what clothes do you have,recommend
Do you have the [suits](product) for men(keyword)?,recommend
I need help,recommend
is there any recommend,recommend
[nike](keyword) [pants](product),recommend
I want to buy some [scarf](product),recommend
I wnat to purchase [zara1](keyword),recommend
[top](product) please,recommend
What [earrings](product) do you offer?,recommend
can you help me with something,recommend
what you recommand,recommend
what kind of [women](keyword) [clothes](product) do you have,recommend
Is there any product less than [11.8](price) yuan,recommend
What kind of [gucci](keyword) [bracelet](product) is good for date?,recommend
I want to buy some [suits](product),recommend
Product cheaper than [11.8](price) dollars,recommend
show me some [chinese](keyword) [pants](product),recommend
What kind of [zara](keyword) [](product) is suitable for me?,recommend
[hat](product),recommend
what kind of [coats](product) do you have,recommend
What do you have,recommend
Can you give me some recommendation,recommend
Do you have any recommendation for [Nijacketke](keyword) [pants](product)?,recommend
what clothes do you sell,recommend
can you help me,recommend
can you give me some recommand,recommend
i want buy some [pants](product),recommend
Do you have any recommendation?,recommend
Is there have any [blue](keyword) [shoes](product)?,recommend
Do you offer the [CK](keyword) [jeans](product)?,recommend
I want some [large](keyword) [jacket](product),recommend
What clothes are selling in your stories,recommend
What product are you selling,recommend
I am looking for the new [dress](product).,recommend
can you help,recommend
can you give me some recommandation,recommend
I want [adidas](keyword) [hoodie](product),recommend
can you do something for me,recommend
[perfume](product),recommend
new products please,recommend
